accuracy,precision,recall,f1,macro_f1,Model,HeldOut_Generator
0.8861053119925771,0.6716981132075471,0.6193458594293667,0.6444605358435916,0.7883261110373876,TF-IDF,chatgpt
0.42530735328230107,0.18420107719928186,0.7139874739039666,0.2928500071357214,0.4044107415770431,Signal Features,chatgpt
0.9025748086290883,0.7468982630272953,0.6283924843423799,0.6825396825396826,0.8124987767404537,TF-IDF,davinci003
0.4058223150081188,0.16083916083916083,0.6082115518441197,0.25440256149032164,0.3802621117487278,Signal Features,davinci003
0.8972396195778242,0.7543859649122807,0.5685455810716771,0.6484126984126984,0.7941194163076803,TF-IDF,cohere
0.43133843655764326,0.20254033642293168,0.8211551844119693,0.3249346000275368,0.4168506283375837,Signal Features,cohere
0.8891208536302482,0.7518324607329843,0.49965205288796105,0.6003344481605352,0.7679830064664782,TF-IDF,dolly
0.4178844815588031,0.1778776978417266,0.6882393876130828,0.2826925825353723,0.39644534464916364,Signal Features,dolly
0.8669682208304338,0.6024011299435028,0.5935977731384829,0.5979670522257273,0.7591322301640067,TF-IDF,bloomz
0.4167246578520065,0.1849122807017544,0.7334725121781489,0.29536219700154126,0.39889312976623026,Signal Features,bloomz
